Dependent;Independent_1;Independent_2;Independent_3;Independent_4;Independent_5;Independent_6;Independent_7;Independent_8
0;0;37;10;0;3;18;7;4
0;0;27;4;0;4;14;6;4
0;0;32;15;1;1;12;1;4
2;1;57;15;1;5;18;6;5
0;1;22;0.75;0;2;17;6;3
4;0;32;1.5;0;2;17;5;5
0;0;22;0.75;0;2;12;1;3
6;1;57;15;1;2;14;4;4
0;0;32;15;1;4;16;1;2
1;1;22;1.5;0;4;14;4;5
0;0;37;15;1;2;20;7;2
3;0;27;4;1;4;18;6;4
0;0;47;15;1;5;17;6;4
5;1;22;1.5;0;2;17;5;4
0;1;27;4;0;4;14;5;4
7;1;37;15;1;1;17;5;5
0;1;37;15;1;2;18;4;3
8;1;22;0.75;0;3;16;5;4
0;1;22;1.5;0;2;16;5;5
9;1;27;10;1;2;14;1;5
0;1;22;1.5;0;2;16;5;5
0;1;22;1.5;0;2;16;5;5
0;1;27;10;1;4;16;5;4
0;1;32;10;1;3;14;1;5
